,TM,gmp_people,gmp_congest,Origin
785,2018111907,1973,Y,김포공항
786,2018111908,1422,N,김포공항
787,2018111909,2077,Y,김포공항
788,2018111910,558,N,김포공항
789,2018111911,1519,N,김포공항
790,2018111912,1656,N,김포공항
791,2018111913,1625,N,김포공항
792,2018111914,2080,Y,김포공항
793,2018111915,1569,N,김포공항
794,2018111916,1201,N,김포공항
795,2018111917,832,N,김포공항
796,2018111918,1461,N,김포공항
797,2018111919,1311,N,김포공항
798,2018111920,1132,N,김포공항
799,2018111921,46,N,김포공항
800,2018112006,2122,Y,김포공항
801,2018112007,1838,N,김포공항
802,2018112008,1566,N,김포공항
803,2018112009,1868,Y,김포공항
